surface_name	site_name	species_name	formation_energy	bulk_structure	frequencies	other_parameters	reference
Rh	211	COH	1.94	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	COH	3.55	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH3	0.46	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH3	0.97	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH3	0.06	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH3	0.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	CH3	0.11	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH3	1.1	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re	211	CH3	-0.13	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Co	211	CH3	0.04	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	CH3	0.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH3	1.39	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH3	0.79	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	CH2	0.76	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	CH2	2.22	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru	211	CH2	0.69	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	CH2	0.76	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ir	211	CH2	0.36	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au	211	CH2	2.23	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re	211	CH2	0.21	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Co	211	CH2	0.79	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag	211	CH2	2.87	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	CH2	1.28	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni	211	CH2	1.14	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd	211	COH	1.9	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt	211	COH	1.92	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh	211	COH	1.94	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu	211	COH	3.55	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re  	211	H-CH2 	0.28	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru  	211	H-CH2 	0.68	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh  	211	H-CH2 	0.79	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt  	211	H-CH2 	0.94	fcc	[]	[]	Fatima Jalid Tuhin S Khan
CO  	211	H-CH2 	0.99	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ni  	211	H-CH2 	1.41	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd  	211	H-CH2 	1.53	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Cu  	211	H-CH2 	2.5	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Au  	211	H-CH2 	2.81	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ag  	211	H-CH2 	3.52	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Re  	211	H-CH3 	0.49	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Ru  	211	H-CH3 	0.52	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Rh  	211	H-CH3 	0.66	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pd  	211	H-CH3 	0.73	fcc	[]	[]	Fatima Jalid Tuhin S Khan
Pt  	211	H-CH3 	0.83	fcc	[]	[]	Fatima Jalid Tuhin S Khan
